42.71,89.32
9.58,52.43
60,67.96
23.96,73.79
42.71,85.92
67.92,65.05
15.83,66.99
68.54,23.79
17.5,33.01
33.33,36.89
2.08,49.51
37.08,85.44
11.46,46.12
67.92,86.41
52.92,40.78
68.33,16.5
68.75,48.06
39.58,39.81
82.08,56.8
57.71,65.53
80,40.29
61.04,68.45
32.71,82.04
54.17,9.71
67.92,28.16
43.75,82.52
48.75,34.95
69.38,22.33
42.71,89.81
49.38,45.15
67.29,73.79
71.67,43.69
86.67,66.02
68.12,27.18
42.71,66.02
32.92,10.68
44.58,71.36
61.25,72.82
9.17,51.46
25.42,50
41.04,92.72
81.25,45.63
31.04,46.12
61.25,74.76
40,51.94
53.96,74.27
45.42,37.38
46.67,73.79
81.67,46.12
33.12,24.27
76.46,68.93
16.67,37.86
61.04,86.89
63.54,34.95
68.54,24.27
43.33,87.38
80,21.36
79.79,51.46
35.83,83.5
57.5,67.48
60.21,67.96
44.17,80.58
71.67,43.2
83.75,52.43
39.17,66.02
57.5,66.99
60.83,68.45
60.83,68.93
76.46,69.42
58.33,66.02
